Segmented Element,POS,Dependecies
組件,NOUN,conj
、,PUNCT,punct
下腳品,NOUN,conj
及,CCONJ,cc
不良,PUNCT,compound:nn
"
",SPACE,compound:nn
品,NOUN,ROOT
"
",SPACE,punct
8,NUM,dep
"
",SPACE,ROOT
-,NUM,dep
"
",SPACE,ROOT
100,NUM,dep
"

",SPACE,ROOT
E,PUNCT,dep
-,NUM,ROOT
0399,NUM,ROOT
"
",SPACE,ROOT
其他,DET,det
無法,ADV,advmod
歸類,VERB,acl
之,PART,mark
混合,NOUN,dep
五金,NUM,dep
廢料,NOUN,ROOT
"
",SPACE,punct
10,NUM,nmod:range
"
",SPACE,punct
-,NUM,dep
"
",SPACE,punct
100,NUM,dep
"

",SPACE,ROOT
R,PUNCT,dep
-,NUM,ROOT
0201,NUM,ROOT
"
",SPACE,ROOT
廢塑,NOUN,ROOT
膠,NOUN,ROOT
"
",SPACE,ROOT
18,NUM,nmod:range
"
",SPACE,punct
-,NUM,mark:clf
"
",SPACE,dep
100,NUM,dep
"

",SPACE,dep
R,PUNCT,punct
-,NUM,dep
0403,NUM,dep
"
",SPACE,punct
廢,ADJ,amod
陶瓷,NOUN,dobj
"
",SPACE,punct
2,NUM,nummod
"
",SPACE,punct
-,NUM,dep
"
",SPACE,dep
100,NUM,dep
"

",SPACE,dep
R,PUNCT,dep
-,NUM,punct
0701,NUM,ROOT
"
",SPACE,ROOT
廢,ADJ,amod
木材,NOUN,conj
"
",SPACE,ROOT
14,NUM,nummod
"
",SPACE,mark:clf
-,NUM,dep
"
",SPACE,ROOT
100,NUM,dep
"

",SPACE,ROOT
R,PUNCT,ROOT
-,NUM,dep
0910,NUM,ROOT
"
",SPACE,punct
氟化,ADJ,amod
鈣污,NOUN,compound:nn
泥,PUNCT,ROOT
"
",SPACE,punct
27,NUM,nummod
"
",SPACE,mark:clf
-,CCONJ,cc
"
",SPACE,ROOT
100,NUM,dep
"

",SPACE,ROOT
R,PUNCT,nmod
-,NUM,dep
2408,NUM,dep
"
",SPACE,punct
廢活性,ADJ,amod
碳,NOUN,ROOT
"
",SPACE,ROOT
4,NUM,dep
"
",SPACE,ROOT
-,PUNCT,mark:clf
100,NUM,dep
"

",SPACE,ROOT
總計,ADV,dep
"
 
",SPACE,punct
360,NUM,nmod:range
"
",SPACE,conj
2,NUM,dep
",",NUM,mark:clf
558,NUM,dep
"
",SPACE,ROOT
12,NUM,dep
.,NUM,dep
4,NUM,dep
"

",SPACE,mark:clf
資料,NOUN,mark:clf
來源,NOUN,dep
：,PUNCT,punct
行政院,NOUN,compound:nn
環境,NOUN,compound:nn
保護,NOUN,compound:nn
署事,NOUN,compound:nn
業廢,NOUN,compound:nn
棄物,NOUN,compound:nn
管制,NOUN,compound:nn
中心,NOUN,dep
95,NUM,dep
年,PUNCT,punct
申報,NOUN,compound:nn
資料,NOUN,nsubj
彙整,VERB,parataxis:prnmod
，,PUNCT,punct
民國,PROPN,dep
96,NUM,dep
年,PUNCT,dep
8,NOUN,dep
月,NOUN,dep
。,PUNCT,punct
-,PUNCT,ROOT
20,NUM,dep
-,PUNCT,punct
"

",SPACE,punct
表,NOUN,dep
3,NUM,dep
.,NUM,dep
2-2,NUM,ROOT
收受,VERB,acl
矽晶,NOUN,compound:nn
圓片,NOUN,compound:nn
製造,NOUN,compound:nn
業廢,NOUN,compound:nn
棄物,NOUN,dobj
機構,NOUN,compound:nn
名單,NOUN,compound:nn
"

",SPACE,compound:nn
類別,NOUN,amod
"
",SPACE,compound:nn
機構,NOUN,compound:nn
名稱,NOUN,ROOT
"
",SPACE,punct
收受,VERB,dep
廢棄物,NOUN,compound:nn
種類,NOUN,dep
"

",SPACE,punct
處理,NOUN,dep
機構,NOUN,compound:nn
"
",SPACE,punct
處理,NOUN,dep
行為者,NOUN,dep
"
",SPACE,punct
◎,PUNCT,punct
三,PROPN,compound:nn
陽,PROPN,compound:nn
工業,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
新竹,PROPN,dep
廠,NOUN,dep
"
",SPACE,dep
◎,PUNCT,punct
高雄,PROPN,name
縣仁武,PROPN,nmod:assmod
垃圾,NOUN,compound:nn
焚化,NOUN,compound:nn
廠,NOUN,dep
"
",SPACE,punct
◎南,PROPN,compound:nn
亞塑,NOUN,compound:nn
膠工,NOUN,compound:nn
業(,NOUN,compound:nn
股),NOUN,dep
公司,NOUN,compound:nn
麥寮,PROPN,compound:nn
總,NOUN,dobj
"
",SPACE,punct
廠,NOUN,compound:nn
資源,NOUN,compound:nn
回收,NOUN,compound:nn
廠,NOUN,dep
"
",SPACE,punct
◎水,PUNCT,nmod:assmod
美,PROPN,compound:nn
工程,NOUN,compound:nn
企業,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
觀,NOUN,dep
"
",SPACE,punct
音廠,NOUN,dep
"
",SPACE,punct
◎光炫,PROPN,compound:nn
環工,NOUN,compound:nn
科技,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,punct
◎,PUNCT,punct
新竹市,PROPN,nmod:assmod
垃圾,NOUN,compound:nn
資源,NOUN,compound:nn
回收,NOUN,compound:nn
廠,NOUN,dep
"
",SPACE,dep
◎榮,PROPN,compound:nn
工(,PROPN,compound:nn
股),NOUN,dep
公司,NOUN,compound:nn
彰濱,PROPN,compound:nn
工業,NOUN,compound:nn
區事,NOUN,compound:nn
業,NOUN,compound:nn
"
",SPACE,punct
廢棄物,NOUN,compound:nn
資源,NOUN,compound:nn
回收,NOUN,compound:nn
處理,NOUN,compound:nn
廠,NOUN,ROOT
C,PUNCT,ROOT
-,PUNCT,punct
0104,NUM,dep
鉻及其化,NOUN,nmod
合物,NOUN,dep
(總,PUNCT,punct
鉻),NOUN,dep
"
",SPACE,dep
C,PUNCT,punct
-,PUNCT,punct
0299,NUM,ROOT
其他,DET,det
腐蝕性,ADJ,amod
事,NOUN,compound:nn
業廢,NOUN,compound:nn
棄物,NOUN,compound:nn
"
",SPACE,compound:nn
混合物,NOUN,ROOT
"
",SPACE,ROOT
C,PUNCT,dep
-,NOUN,ROOT
0301,NUM,ROOT
廢液,NOUN,compound:nn
閃火,NOUN,compound:nn
點,NOUN,nsubj
小,VERB,ROOT
於,VERB,dep
60,NUM,nmod:range
℃,NUM,mark:clf
"
",SPACE,punct
（,PUNCT,punct
不,PUNCT,punct
包,VERB,dep
含,VERB,acl
乙,NOUN,dobj
醇,NOUN,dobj
體,NOUN,compound:nn
積,NOUN,compound:nn
濃,NOUN,nsubj
度,PUNCT,nsubj
小,VERB,conj
於,VERB,ccomp
"
",SPACE,punct
24,NUM,dep
%,NUM,mark:clf
之,PART,mark
酒,NOUN,dep
類廢,NOUN,compound:nn
棄物,NOUN,dobj
"
",SPACE,punct
C,PUNCT,punct
-,PUNCT,punct
0399,NUM,ROOT
其他,DET,det
易燃性,ADJ,amod
事,NOUN,compound:nn
業廢,NOUN,compound:nn
棄物,NOUN,compound:nn
"
",SPACE,amod
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,punct
0201,NUM,ROOT
廢,ADJ,amod
離子,NOUN,compound:nn
交換,NOUN,compound:nn
樹脂,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
0202,NUM,ROOT
廢樹,NOUN,amod
脂,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
0299,NUM,ROOT
廢,ADJ,amod
塑膠,NOUN,compound:nn
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,ROOT
0399,NUM,ROOT
廢,ADJ,amod
橡膠,NOUN,compound:nn
混合物,NOUN,dep
"
",SPACE,dep
D,PUNCT,dep
-,NOUN,dep
0499,NUM,ROOT
其他,DET,det
廢,ADJ,dep
玻璃,NOUN,conj
、,PUNCT,punct
陶瓷,NOUN,conj
、,PUNCT,punct
磚,NOUN,conj
、,PUNCT,punct
"
",SPACE,ROOT
瓦及,CCONJ,dep
土,NOUN,compound:nn
等,PART,etc
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NUM,conj
0699,NUM,ROOT
廢紙,NOUN,compound:nn
混合物,NOUN,ROOT
"
",SPACE,case
D,PUNCT,punct
-,PUNCT,punct
0701,NUM,ROOT
廢,ADJ,amod
木材,NOUN,compound:nn
棧板,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,VERB,punct
0799,NUM,ROOT
廢,ADJ,amod
木材,NOUN,compound:nn
混合物,NOUN,dep
"
",SPACE,case
D,PUNCT,conj
-,NOUN,nmod:assmod
0801,NUM,dep
廢纖,NOUN,dep
維,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
0802,NUM,dep
廢,ADJ,ROOT
棉屑,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NUM,conj
0803,NUM,ROOT
廢布,NOUN,ROOT
"
",SPACE,punct
D,PUNCT,punct
-,NUM,punct
0899,NUM,ROOT
廢纖維,NOUN,conj
或,CCONJ,cc
其他,DET,det
棉,NOUN,conj
、,PUNCT,punct
布,NOUN,compound:nn
等,PART,etc
"
",SPACE,compound:nn
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,dep
-,PUNCT,dep
0902,NUM,ROOT
無機性,ADJ,amod
污泥,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NUM,ROOT
0903,NUM,ROOT
非,ADJ,advmod
有害,ADJ,amod
油泥,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
0999,NUM,ROOT
污泥,NOUN,dep
混合物,NOUN,ROOT
"
",SPACE,punct
D,PUNCT,punct
-,NUM,punct
1099,NUM,punct
非,ADJ,advmod
有害,ADJ,amod
廢集,ADJ,amod
塵灰,NOUN,conj
或,CCONJ,cc
其混,NOUN,compound:nn
"
",SPACE,punct
合物,NOUN,ROOT
"
",SPACE,punct
D,PUNCT,punct
-,NUM,punct
1504,NUM,ROOT
非,ADJ,advmod
有害,ADJ,amod
有,ADJ,amod
機廢液,NOUN,conj
或,CCONJ,cc
溶劑,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NUM,conj
1799,NUM,ROOT
廢油,NOUN,compound:nn
混,NOUN,ROOT
物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,ROOT
1801,NUM,ROOT
生活,NOUN,compound:nn
垃圾,NOUN,dep
"
",SPACE,punct
D,PUNCT,punct
-,NOUN,ROOT
2399,NUM,compound:nn
一般,ADJ,amod
廢化,NOUN,compound:nn
學物,NOUN,compound:nn
質混,NOUN,compound:nn
合物,NOUN,compound:nn
"

",SPACE,punct
處理,NOUN,compound:nn
機構,NOUN,ROOT
"
",SPACE,ROOT
再,ADV,advmod
利用,VERB,conj
行為者,NOUN,dobj
"
",SPACE,dep
◎中台,PROPN,compound:nn
資源,NOUN,compound:nn
科技,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,amod
◎全,PUNCT,amod
亞冠,PROPN,compound:nn
科技,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,dep
◎向,PROPN,compound:nn
陽,PROPN,compound:nn
科技,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,punct
◎侑,PROPN,compound:nn
晉,PROPN,compound:nn
科技,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,nmod:topic
"

",SPACE,ROOT
C,PUNCT,punct
-,NOUN,nmod:topic
0172,NUM,dep
含汞,VERB,conj
或,CCONJ,cc
螢光粉,NOUN,dobj
之,PART,mark
廢,ADJ,amod
照明,NOUN,compound:nn
"
",SPACE,acl
光源,NOUN,dobj
（,PUNCT,punct
燈管,NOUN,conj
、,PUNCT,punct
燈泡,NOUN,parataxis:prnmod
）,PUNCT,punct
(,PUNCT,punct
非屬,ADV,advmod
公告,NOUN,dobj
應,VERB,aux:modal
"
",SPACE,nmod:prep
回收廢,VERB,dobj
棄物者,NOUN,dobj
),PUNCT,parataxis:prnmod
"
",SPACE,ROOT
C,PUNCT,ROOT
-,NOUN,ROOT
0202,NOUN,ROOT
廢液,NOUN,compound:nn
pH,PUNCT,ROOT
值小(,NOUN,ROOT
等,VERB,dep
)於,PUNCT,punct
2.0,NUM,dep
"


 
",SPACE,nmod:prep
-,DET,dep
21,NUM,dep
-,ADJ,cc
"

",SPACE,ROOT
表,NOUN,dep
3,NUM,dep
.,NUM,dep
2-2,NUM,dep
收受,VERB,dep
矽晶,NOUN,compound:nn
圓片,NOUN,dobj
製,VERB,conj
業廢,NOUN,compound:nn
棄物,NOUN,compound:nn
機構,NOUN,compound:nn
名單,NOUN,ROOT
(續,PUNCT,ROOT
),PUNCT,punct
"

",SPACE,ROOT
類別,ADJ,ROOT
"
",SPACE,punct
機構,NOUN,compound:nn
名稱,NOUN,nsubj
"
",SPACE,punct
收受,VERB,dep
廢棄物,NOUN,compound:nn
種類,NOUN,dep
"

",SPACE,punct
處理,NOUN,compound:nn
機構,NOUN,nsubj
"
",SPACE,punct
再,ADV,advmod
利用,VERB,ROOT
行為者,NOUN,ROOT
"
",SPACE,punct
◎幸,PUNCT,nmod:assmod
福,PUNCT,compound:nn
水泥,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,appos
東,PROPN,dep
澳,PROPN,dep
廠,NOUN,dobj
"
",SPACE,compound:nn
◎金,PUNCT,punct
益鼎,PROPN,compound:nn
企業,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,dep
◎倫鼎,PROPN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,dep
◎,PUNCT,punct
清淨,PROPN,compound:nn
國際,NOUN,compound:nn
興業,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,appos
楊梅,PROPN,dep
廠,NOUN,compound:nn
"
",SPACE,punct
◎順,PROPN,compound:nn
倉,PROPN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,punct
◎圓,PROPN,compound:nn
立環,NOUN,compound:nn
保,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
"
",SPACE,punct
◎達,PROPN,compound:nn
和,PROPN,compound:nn
清宇,PROPN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,conj
"
",SPACE,punct
◎廣,PROPN,punct
倫潔,PROPN,compound:nn
環保,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,nmod:assmod
蘆竹,PROPN,dep
"
",SPACE,punct
廠,NOUN,dobj
"

",SPACE,punct
C,PUNCT,punct
-,NOUN,nmod:assmod
0301,NOUN,parataxis:prnmod
廢液,NOUN,compound:nn
閃火,NOUN,compound:nn
點,NOUN,nsubj
小,VERB,ROOT
於,VERB,conj
60,NUM,nmod:range
℃,NOUN,mark:clf
"
",SPACE,punct
（,PUNCT,punct
不,PUNCT,compound:nn
包含,VERB,dep
乙醇,NOUN,compound:nn
體積,NOUN,compound:nn
濃度,NOUN,nsubj
小,VERB,conj
於,VERB,ccomp
"
",SPACE,acl
24,NUM,dep
%,NUM,mark:clf
之,PART,mark
酒,NOUN,dep
類廢,NOUN,compound:nn
棄物,NOUN,parataxis:prnmod
D,PUNCT,dep
-,NOUN,ROOT
0299,NUM,ROOT
廢,ADJ,amod
塑膠,NOUN,compound:nn
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
0701,NUM,ROOT
廢,ADJ,amod
木材,NOUN,compound:nn
棧板,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,punct
0799,NUM,ROOT
廢,ADJ,amod
木材,NOUN,compound:nn
混合物,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,ROOT
0902,NUM,ROOT
無機性,ADJ,amod
污泥,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,ROOT
0903,NUM,ROOT
非,VERB,advmod
有害,ADJ,amod
油泥,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,compound:nn
-,NOUN,ROOT
1504,NUM,punct
非,VERB,advmod
有害,ADJ,amod
有,ADJ,amod
機廢液,NOUN,conj
或,CCONJ,cc
溶劑,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,NOUN,punct
1801,NUM,ROOT
生活,NOUN,compound:nn
垃圾,NOUN,ROOT
"
",SPACE,ROOT
D,PUNCT,ROOT
-,PUNCT,punct
2399,NUM,ROOT
一般,ADJ,amod
廢化,ADJ,compound:nn
學物,NOUN,compound:nn
質混,NOUN,compound:nn
合物,NOUN,ROOT
"
",SPACE,ROOT
E,PUNCT,ROOT
-,PROPN,conj
0217,NUM,ROOT
廢,ADJ,amod
電子,NOUN,compound:nn
零,PUNCT,dep
組件,NOUN,conj
、,PUNCT,punct
下腳品,NOUN,compound:nn
"
",SPACE,punct
及,CCONJ,cc
不良品,NOUN,ROOT
"
",SPACE,punct
E,PUNCT,punct
-,NUM,punct
0399,NUM,punct
其他,DET,det
無法,ADV,advmod
歸類,VERB,acl
之,PART,mark
混合,NOUN,compound:nn
五,NUM,dep
"
",SPACE,punct
金廢,NOUN,compound:nn
料,PUNCT,punct
"

",SPACE,amod
再,ADV,advmod
利用,ADJ,amod
機構,NOUN,ROOT
◎,PUNCT,conj
三合化,NOUN,compound:nn
學,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
楊梅,PROPN,compound:nn
廠,NOUN,dobj
"
",SPACE,dep
◎中國,PROPN,nmod:assmod
炭素,NOUN,compound:nn
工業,NOUN,compound:nn
股份,NOUN,ROOT
限,ADJ,amod
公司,NOUN,ROOT
"
",SPACE,dep
◎,PUNCT,punct
台灣,PROPN,nmod:assmod
水泥,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,dep
蘇,PROPN,dep
澳,PROPN,dep
廠,NOUN,ROOT
"
",SPACE,dep
◎李,PUNCT,punct
長榮化,PROPN,compound:nn
學工,NOUN,compound:nn
業,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
"
",SPACE,punct
林園,PROPN,compound:nn
廠,NOUN,ROOT
"
",SPACE,compound:nn
◎幸,PROPN,compound:nn
福,PUNCT,nmod:assmod
水泥,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
東,PROPN,name
澳,PROPN,dep
廠,NOUN,dep
"
",SPACE,punct
◎,PUNCT,punct
長鼎,PROPN,compound:nn
工業,NOUN,compound:nn
股份,NOUN,compound:nn
有限,ADJ,amod
公司,NOUN,compound:nn
鶯歌,PROPN,dep
廠,NOUN,ROOT
"
",SPACE,punct
◎建,PUNCT,compound:nn
隆,PUNCT,compound:nn
製材,NOUN,compound:nn
工廠,NOUN,dep
"

",SPACE,dep
C,PUNCT,dep
-,NOUN,ROOT
0301,NOUN,ROOT
廢液,NOUN,compound:nn
閃火,NOUN,nsubj
點,NOUN,nsubj
小,VERB,ROOT
於,VERB,ROOT
60,NUM,nmod:range
℃,NUM,mark:clf
"
",SPACE,ROOT
（,PUNCT,punct
不,PUNCT,nsubj
包含,VERB,dep
乙醇,NOUN,compound:nn
體積,NOUN,compound:nn
濃度,NOUN,nsubj
小,VERB,dep
於,VERB,ccomp
"
",SPACE,punct
24,NUM,dep
%,NUM,mark:clf
之,PART,mark
酒,NOUN,dep
類廢,NOUN,compound:nn
棄物,NOUN,compound:nn
"
",SPACE,dobj
R,PUNCT,punct
-,NOUN,dobj
0201,NOUN,dep
廢塑,NOUN,ROOT
膠,NOUN,ROOT
"
",SPACE,ROOT
R,PUNCT,ROOT
-,NOUN,ROOT
0403,NOUN,ROOT
廢,ADJ,amod
陶瓷,NOUN,ROOT
"
",SPACE,ROOT
R,PUNCT,ROOT
-,NOUN,ROOT
0701,NOUN,ROOT
廢,ADJ,amod
木材,NOUN,ROOT
"
",SPACE,ROOT
R,PUNCT,ROOT
-,NOUN,ROOT
0910,NOUN,ROOT
氟化,ADJ,amod
鈣污,NOUN,compound:nn
泥,PUNCT,ROOT
"
",SPACE,ROOT
R,PUNCT,ROOT
-,NOUN,ROOT
2408,NUM,ROOT
廢活性,ADJ,amod
碳,NOUN,ROOT
"

",SPACE,ROOT
資料,NOUN,ROOT
來源,NOUN,dep
：,PUNCT,punct
行政院,NOUN,compound:nn
環境,NOUN,compound:nn
保護署,NOUN,ROOT
業廢,NOUN,compound:nn
棄物,NOUN,compound:nn
管制,NOUN,compound:nn
中心,NOUN,nsubj
95,NOUN,dep
年,PUNCT,punct
申報,NOUN,compound:nn
資料,NOUN,nsubj
彙整,VERB,ROOT
，,PUNCT,punct
民國,PROPN,dep
96,NOUN,dep
年,PUNCT,punct
8,NOUN,compound:nn
月,NOUN,dobj
。,PUNCT,ROOT
"

 


 
",SPACE,ROOT
-,PUNCT,punct
22,NUM,dep
-,PUNCT,punct
"

",SPACE,dep
第四,NUM,nummod
章,NUM,mark:clf
清潔,ADJ,amod
生產,NOUN,compound:nn
"

",SPACE,nsubj
「,PUNCT,punct
清潔,ADJ,amod
生產,NOUN,dep
」,PUNCT,punct
這,DET,det
一,NUM,dep
理念,PUNCT,nsubj
是,VERB,cop
1989,NOUN,nmod:prep
年,PUNCT,nsubj
由,ADP,case
聯合國,PROPN,nmod:assmod
環境,NOUN,compound:nn
規劃署,NOUN,nmod:prep
（,PUNCT,punct
United,PUNCT,name
Nations,PUNCT,mark:clf
"
",SPACE,case
Environment,PUNCT,compound:nn
Programme,PUNCT,dep
",",PUNCT,punct
UNEP,PUNCT,dep
）,PUNCT,punct
所,PART,aux:prtmod
提出,VERB,ROOT
。,PUNCT,punct
由於,ADP,case
，,PUNCT,ROOT
此,DET,det
觀念,NOUN,nsubj
較為,ADV,advmod
新,VERB,dep
穎且,VERB,cc
具有,VERB,conj
動態,NOUN,dobj
，,PUNCT,punct
所,ADV,advmod
"
",SPACE,punct
以,ADV,advmod
其定,NOUN,conj
義與,NOUN,cc
作法,NOUN,nsubj
可能,ADV,advmod
會隨,ADP,case
不同,ADP,case
國家,NOUN,conj
、,PUNCT,punct
地區,NOUN,dep
而,PART,aux:prtmod
異,PUNCT,dep
，,PUNCT,punct
或是,CCONJ,cc
其,PRON,compound:nn
發展,NOUN,nsubj
可能,VERB,aux:modal
會隨,ADP,case
時間而變,NOUN,dep
。,PUNCT,dep
因此,ADV,ROOT
，,PUNCT,punct
1997,NOUN,nmod:tmod
年,PUNCT,name
UN,PUNCT,amod
EP,PUNCT,dep
遂,ADV,advmod
將清,NOUN,compound:nn
潔生,NOUN,amod
產(Cleaner,NOUN,punct
Production,PUNCT,dep
",",PUNCT,punct
CP,PUNCT,dep
)定,PUNCT,dep
義為,VERB,dep
：,PUNCT,punct
「,PUNCT,punct
持續,VERB,advmod:dvp
地,PART,mark
應用,VERB,ccomp
"
",SPACE,dep
整合性,ADJ,amod
污染,NOUN,compound:nn
防治,NOUN,dobj
理念,PUNCT,punct
於,ADP,case
製程,NOUN,conj
和,CCONJ,cc
產品,NOUN,nmod:assmod
之,PART,case
開發,NOUN,dep
，,PUNCT,punct
以及,CCONJ,cc
服務,NOUN,nmod:assmod
之,PART,case
提供,NOUN,dep
；,PUNCT,punct
期能,VERB,advmod
增加生,VERB,conj
態效,NOUN,dobj
"
",SPACE,cc
率,PUNCT,dep
，,PUNCT,punct
減少,VERB,conj
製程,NOUN,conj
、,PUNCT,punct
產品,NOUN,conj
和,CCONJ,cc
服務,NOUN,dep
對人,NOUN,case
類及,CCONJ,cc
環境,NOUN,dep
之,PART,case
有害,ADJ,amod
影響,NOUN,dobj
。,PUNCT,punct
」,PUNCT,ROOT
"

",SPACE,ROOT
1.,NUM,advmod:loc
對,ADP,case
製程,NOUN,nmod:prep
而言,PART,mark:clf
，,PUNCT,punct
其,PRON,nsubj
所需,VERB,acl
之,PART,mark
原料,NOUN,conj
和,CCONJ,cc
能源,NOUN,nsubj
需儘,ADV,advmod
可能,VERB,advmod:dvp
地,PART,mark
節約,VERB,ROOT
，,PUNCT,punct
儘,ADV,advmod
可能,ADV,advmod
不用,VERB,conj
有毒性,ADJ,nmod:assmod
之,PART,case
原料,NOUN,dobj
，,PUNCT,punct
"
",SPACE,punct
並減,VERB,conj
少排,NOUN,ROOT
放物,NOUN,nmod:assmod
之,PART,case
危害性,NOUN,conj
和,CCONJ,cc
毒性,NOUN,dobj
。,PUNCT,ROOT
2,NUM,dep
.,PUNCT,punct
對,ADP,case
產品,NOUN,nmod:assmod
之,PART,case
生產,NOUN,nmod:prep
而言,PART,dep
，,PUNCT,punct
由,ADP,case
最,ADV,advmod
原始,VERB,amod
之,PART,mark
原,NOUN,nmod:prep
料到,ADP,case
產品,NOUN,nsubj
棄置,VERB,conj
整個,DET,det
產品,NOUN,compound:nn
生命,NOUN,compound:nn
週期,NOUN,dobj
，,PUNCT,punct
皆,ADV,advmod
要,VERB,xcomp
儘,ADV,advmod
可,ADV,advmod
"
",SPACE,nmod:prep
能,ADV,advmod
減少,VERB,ROOT
對,ADP,case
環境,NOUN,nmod
之,PART,case
影響,NOUN,dobj
。,PUNCT,punct
"

",SPACE,punct
3,NUM,dep
.,PUNCT,punct
對,ADP,case
服務,NOUN,nmod:prep
而言,PART,dep
，,PUNCT,punct
由,ADP,case
系統,NOUN,compound:nn
設計,NOUN,nmod:prep
，,PUNCT,punct
到,ADP,case
提供,VERB,dep
服務,NOUN,dobj
所需,VERB,acl
之,PART,mark
資源,NOUN,compound:nn
消耗,NOUN,conj
，,PUNCT,punct
乃至,CCONJ,cc
整個,DET,det
服務,NOUN,compound:nn
生命,NOUN,compound:nn
週,NOUN,dep
"
",SPACE,case
期,NOUN,dep
，,PUNCT,punct
皆,ADV,advmod
要,VERB,xcomp
儘,ADV,advmod
可能,ADV,advmod
減少,VERB,ROOT
對,ADP,case
環境,NOUN,nmod
之,PART,case
影響,NOUN,dobj
。,PUNCT,punct
"

",SPACE,ROOT
因此,ADV,advmod
本章,NOUN,dep
節,NOUN,nsubj
以,ADP,case
環境化,NOUN,compound:nn
設計,NOUN,conj
及,CCONJ,cc
廠內,NOUN,compound:nn
管理,NOUN,nmod:assmod
的,PART,case
觀點,NOUN,nmod:prep
，,PUNCT,punct
敘述,VERB,ROOT
矽晶,NOUN,compound:nn
圓片,NOUN,compound:nn
製造,NOUN,dep
業於,ADP,dep
產品,NOUN,compound:nn
設,NOUN,dep
"
",SPACE,punct
計及,CCONJ,case
生產,NOUN,compound:nn
活動,NOUN,compound:nn
過程,NOUN,nmod
之,PART,case
污染,NOUN,compound:nn
預防,NOUN,compound:nn
策略,NOUN,dobj
。,PUNCT,punct
4.1,NUM,dep
環境化,NOUN,dep
設計,VERB,conj
"

",SPACE,compound:nn
矽晶,NOUN,compound:nn
圓片,NOUN,dobj
是,VERB,cop
積體,NOUN,compound:nn
電路,NOUN,compound:nn
製造,NOUN,nmod:assmod
的,PART,mark
基本,ADJ,amod
材料,NOUN,ROOT
，,PUNCT,punct
我,PRON,dep
國,NOUN,dep
目前,NOUN,nmod:tmod
矽晶,NOUN,compound:nn
圓片,NOUN,compound:nn
